id,lastUpdated,type,active,createdDate,endDate,endGold,endXp,gold,questSlot,randomID,status,turbotownID,win,xp
74,2024-01-21 03:19:10.748,random,false,2024-01-21 03:19:10.747,2024-01-21 03:38:39.408,0,50,100,2,479,completed,1,false,100
34,2024-01-20 03:50:11.623,random,false,2024-01-20 03:50:11.622,2024-01-21 03:39:08.41,0,50,100,3,439,completed,4,false,100
78,2024-01-21 03:40:17.131,random,false,2024-01-21 03:40:17.13,2024-01-21 04:08:37.907,100,150,100,3,483,completed,4,true,100
79,2024-01-21 04:07:29.76,random,false,2024-01-21 04:07:29.759,2024-01-21 04:42:24.009,100,150,100,3,484,completed,2,true,100
75,2024-01-21 03:38:29.075,random,false,2024-01-21 03:38:29.074,2024-01-21 04:09:02.245,100,150,100,1,480,completed,3,true,100
77,2024-01-21 03:38:56.131,random,false,2024-01-21 03:38:56.13,2024-01-21 04:42:07.464,100,150,100,2,482,completed,1,true,100
82,2024-01-21 04:09:17.085,random,false,2024-01-21 04:09:17.084,2024-01-25 03:17:43.137,0,50,100,3,487,completed,4,false,100
83,2024-01-21 04:42:31.484,random,false,2024-01-21 04:42:31.483,2024-01-27 02:58:51.58,0,50,100,3,488,completed,2,false,100
31,2024-01-20 03:48:53.258,random,false,2024-01-20 03:48:53.257,2024-01-21 18:50:00.588,0,50,100,1,436,completed,8,false,100
96,2024-01-21 19:16:41.339,random,false,2024-01-21 19:16:41.338,2024-01-21 19:45:03.629,100,150,100,3,501,completed,7,true,100
94,2024-01-21 18:50:03.94,random,false,2024-01-21 18:50:03.939,2024-01-21 19:45:10.346,100,150,100,1,499,completed,8,true,100
91,2024-01-21 13:42:39.83,random,false,2024-01-21 13:42:39.829,2024-01-22 03:10:33.007,0,50,100,3,496,completed,3,false,100
97,2024-01-21 19:45:21.795,random,false,2024-01-21 19:45:21.794,2024-01-22 03:10:56.036,0,50,100,1,502,completed,8,false,100
93,2024-01-21 18:46:26.022,random,false,2024-01-21 18:46:26.021,2024-01-22 03:11:42.958,0,50,100,2,498,completed,7,false,100
103,2024-01-22 03:14:10.363,random,false,2024-01-22 03:14:10.362,2024-01-22 03:45:40.391,100,150,100,1,508,completed,3,true,100
104,2024-01-22 03:14:22.092,random,false,2024-01-22 03:14:22.091,2024-01-22 03:45:44.584,100,150,100,2,509,completed,8,true,100
105,2024-01-22 03:45:49.054,random,false,2024-01-22 03:45:49.053,2024-01-23 01:43:27.943,0,50,100,1,510,completed,3,false,100
98,2024-01-21 19:45:47.384,random,false,2024-01-21 19:45:47.383,2024-01-23 01:44:05.63,100,150,100,3,503,completed,7,true,100
108,2024-01-23 01:44:31.202,random,false,2024-01-23 01:44:31.201,2024-01-23 02:16:06.143,100,150,100,1,513,completed,3,true,100
101,2024-01-22 03:12:16.693,random,false,2024-01-22 03:12:16.692,2024-01-23 02:16:37.176,100,150,100,2,506,completed,7,true,100
109,2024-01-23 01:47:23.942,random,false,2024-01-23 01:47:23.941,2024-01-23 02:16:37.335,100,150,100,3,514,completed,7,true,100
90,2024-01-21 05:31:08.792,random,false,2024-01-21 05:31:08.791,2024-01-23 02:16:38.281,100,150,100,2,495,completed,1,true,100
100,2024-01-22 03:11:05.192,random,false,2024-01-22 03:11:05.191,2024-01-23 02:16:48.752,100,150,100,1,505,completed,8,true,100
107,2024-01-23 01:43:47.068,random,false,2024-01-23 01:43:47.067,2024-01-23 02:17:08.801,100,150,100,1,512,completed,5,true,100
80,2024-01-21 04:09:01.846,random,false,2024-01-21 04:09:01.845,2024-01-23 02:58:46.836,0,50,100,1,485,completed,1,false,100
110,2024-01-23 02:16:16.73,random,false,2024-01-23 02:16:16.729,2024-01-23 02:58:50.166,0,50,100,1,515,completed,3,false,100
84,2024-01-21 04:42:37.817,random,false,2024-01-21 04:42:37.816,2024-01-23 02:58:53.223,0,50,100,1,489,completed,4,false,100
102,2024-01-22 03:14:00.468,random,false,2024-01-22 03:14:00.467,2024-01-23 02:59:09.553,0,50,100,2,507,completed,8,false,100
115,2024-01-23 02:18:42.744,random,false,2024-01-23 02:18:42.743,2024-01-23 03:03:10.745,0,50,100,1,520,completed,5,false,100
111,2024-01-23 02:16:44.422,random,false,2024-01-23 02:16:44.42,2024-01-24 01:05:48.941,100,150,100,2,516,completed,7,true,100
125,2024-01-24 01:05:56.631,random,false,2024-01-24 01:05:56.63,2024-01-25 02:10:29.588,0,50,100,2,530,completed,7,false,100
126,2024-01-25 01:35:56.039,random,false,2024-01-25 01:35:56.038,2024-01-25 02:10:43.893,0,50,100,1,531,completed,3,false,100
119,2024-01-23 02:59:16.362,random,false,2024-01-23 02:59:16.361,2024-01-25 02:10:51.058,0,50,100,2,524,completed,8,false,100
113,2024-01-23 02:16:51.473,random,false,2024-01-23 02:16:51.472,2024-01-25 02:11:19.171,0,50,100,2,518,completed,1,false,100
118,2024-01-23 02:59:05.285,random,false,2024-01-23 02:59:05.284,2024-01-25 02:51:57.189,0,50,100,1,523,completed,4,false,100
131,2024-01-25 02:17:54.68,random,false,2024-01-25 02:17:54.679,2024-01-25 02:52:24.037,0,50,100,1,536,completed,3,false,100
124,2024-01-23 03:23:16.49,random,false,2024-01-23 03:23:16.679,2024-01-25 02:52:27.513,0,50,100,1,529,completed,1,false,100
92,2024-01-21 18:07:13.863,random,false,2024-01-21 18:07:13.862,2024-01-25 02:52:38.885,0,50,100,1,497,completed,7,false,100
116,2024-01-23 02:23:10.376,random,false,2024-01-23 02:23:10.375,2024-01-25 02:52:48.385,0,50,100,1,521,completed,8,false,100
99,2024-01-22 03:10:57.121,random,false,2024-01-22 03:10:57.12,2024-01-25 03:17:39.183,0,50,100,3,504,completed,3,false,100
136,2024-01-25 02:52:57.026,random,false,2024-01-25 02:52:57.025,2024-01-25 03:17:43.397,0,50,100,1,541,completed,8,false,100
129,2024-01-25 02:12:26.21,random,false,2024-01-25 02:12:26.209,2024-01-25 03:19:22.253,0,50,100,2,534,completed,7,false,100
140,2024-01-25 03:17:57.268,random,false,2024-01-25 03:17:57.267,2024-01-25 04:03:26.245,0,50,100,3,545,completed,4,false,100
135,2024-01-25 02:52:33.099,random,false,2024-01-25 02:52:33.098,2024-01-25 04:03:34.326,0,50,100,1,540,completed,3,false,100
142,2024-01-25 03:19:28.468,random,false,2024-01-25 03:19:28.467,2024-01-25 04:05:14.822,0,50,100,2,547,completed,7,false,100
141,2024-01-25 03:18:20.852,random,false,2024-01-25 03:18:20.851,2024-01-26 03:43:54.463,0,50,100,1,546,completed,8,false,100
144,2024-01-25 04:03:42.079,random,false,2024-01-25 04:03:42.078,2024-01-26 03:44:06.989,0,50,100,1,549,completed,3,false,100
143,2024-01-25 04:03:34.084,random,false,2024-01-25 04:03:34.082,2024-01-26 03:44:12.861,0,50,100,3,548,completed,4,false,100
127,2024-01-25 02:11:27.266,random,false,2024-01-25 02:11:27.265,2024-01-26 04:06:58.76,0,50,100,2,532,completed,8,false,100
134,2024-01-25 02:52:07.185,random,false,2024-01-25 02:52:07.183,2024-01-26 04:07:10.66,0,50,100,1,539,completed,4,false,100
149,2024-01-26 03:45:05.315,random,false,2024-01-26 03:45:05.314,2024-01-26 04:07:30.221,0,50,100,3,554,completed,1,false,100
138,2024-01-25 02:53:13.991,random,false,2024-01-25 02:53:13.99,2024-01-26 04:32:40.145,100,150,100,1,543,completed,1,true,100
139,2024-01-25 03:17:56.068,random,false,2024-01-25 03:17:56.067,2024-01-26 04:32:42.604,100,150,100,3,544,completed,3,true,100
146,2024-01-26 03:44:04.249,random,false,2024-01-26 03:44:04.248,2024-01-26 04:32:43.251,100,150,100,1,551,completed,8,true,100
148,2024-01-26 03:44:20.091,random,false,2024-01-26 03:44:20.09,2024-01-26 04:32:44.983,100,150,100,3,553,completed,4,true,100
151,2024-01-26 04:07:35.828,random,false,2024-01-26 04:07:35.827,2024-01-26 04:32:45.196,100,150,100,1,556,completed,4,true,100
133,2024-01-25 02:22:20.959,random,false,2024-01-25 02:22:20.957,2024-01-26 05:04:53.415,0,50,100,2,538,completed,1,false,100
157,2024-01-26 04:33:37.138,random,false,2024-01-26 04:33:37.137,2024-01-26 05:05:02.189,0,50,100,3,562,completed,3,false,100
156,2024-01-26 04:33:23.38,random,false,2024-01-26 04:33:23.379,2024-01-26 05:05:56.63,0,50,100,3,561,completed,4,false,100
128,2024-01-25 02:11:36.071,random,false,2024-01-25 02:11:36.07,2024-01-27 02:25:46.697,0,50,100,2,533,completed,8,false,100
154,2024-01-26 04:32:50.632,random,false,2024-01-26 04:32:50.631,2024-01-27 02:56:39.786,0,50,100,1,559,completed,8,false,100
158,2024-01-26 05:05:02.243,random,false,2024-01-26 05:05:02.242,2024-01-27 02:56:48.658,0,50,100,2,563,completed,1,false,100
153,2024-01-26 04:32:48.549,random,false,2024-01-26 04:32:48.548,2024-01-27 03:32:01.918,0,50,100,1,558,completed,1,false,100
160,2024-01-26 05:06:06.417,random,false,2024-01-26 05:06:06.416,2024-01-28 02:30:40.787,0,50,100,3,565,completed,4,false,100
155,2024-01-26 04:33:22.806,random,false,2024-01-26 04:33:22.805,2024-01-28 17:42:14.885,0,50,100,1,560,completed,4,false,100
112,2024-01-23 02:16:45.204,random,false,2024-01-23 02:16:45.203,2024-01-29 01:59:55.464,100,150,100,3,517,completed,7,true,100
152,2024-01-26 04:07:39.879,random,false,2024-01-26 04:07:39.878,2024-01-30 03:11:53.129,100,150,100,3,557,completed,1,true,100
137,2024-01-25 02:52:57.951,random,false,2024-01-25 02:52:57.95,2024-02-01 03:02:38.673,0,50,100,1,542,completed,7,false,100
